city_id,city_slug,city_name,latitude,longitude,aoi_storage_crs,recommended_local_metric_crs_epsg,recommended_local_metric_crs_name,confirmed_lidar_horizontal_crs_epsg,confirmed_lidar_vertical_crs_epsg,confirmed_lidar_geoid,confirmed_lidar_project_directories,lidar_collect_start,lidar_collect_end,notes
1,boston,Boston,42.3479,-71.0645,EPSG:4326,32619,WGS 84 / UTM zone 19N,6348,5703,GEOID18,MA_CentralEastern_2021_B21,2021-03-20,2021-04-24,USGS 3DEP project CRS from generated project manifest. Use this CRS for U.S. LiDAR processing.
2,chicago,Chicago,41.85,-87.6501,EPSG:4326,32616,WGS 84 / UTM zone 16N,6455,6360,GEOID12B,IL_4_County_QL1_LiDAR_2016_B16,2017-04-16,2017-05-07,USGS 3DEP project CRS from generated project manifest. Use this CRS for U.S. LiDAR processing.
3,los_angeles,Los Angeles,34.05,-118.23,EPSG:4326,32611,WGS 84 / UTM zone 11N,6340,5703,GEOID18,CA_LosAngeles_B23,2023-01-08,2024-01-07,USGS 3DEP project CRS from generated project manifest. Use this CRS for U.S. LiDAR processing.
4,montreal,Montreal,45.5035,-73.5685,EPSG:4326,32618,WGS 84 / UTM zone 18N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
5,new_york_city,New York City,40.717,-74.0037,EPSG:4326,32618,WGS 84 / UTM zone 18N,6347,5703,GEOID12A,NJ_New_Jersey_SANDY_LiDAR_15|NY_New_York_CMGP_SANDY_LiDAR_15,2013-08-06,2014-04-21,USGS 3DEP project CRS from generated project manifest. Use this CRS for U.S. LiDAR processing.
6,san_francisco,San Francisco,37.7599,-122.4374,EPSG:4326,32610,WGS 84 / UTM zone 10N,7131,5703,GEOID18,CA_SanFrancisco_B23,2023-04-20,2023-04-20,USGS 3DEP project CRS from generated project manifest. Use this CRS for U.S. LiDAR processing.
7,seattle,Seattle,47.6264,-122.3331,EPSG:4326,32610,WGS 84 / UTM zone 10N,6597,6360,GEOID18,WA_KingCounty_2021_B21,2021-04-01,2021-04-24,USGS 3DEP project CRS from generated project manifest. Use this CRS for U.S. LiDAR processing.
8,vancouver,Vancouver,49.2497,-123.1193,EPSG:4326,32610,WGS 84 / UTM zone 10N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
9,buenos_aires,Buenos Aires,-34.5905,-58.3918,EPSG:4326,32721,WGS 84 / UTM zone 21S,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
10,guadalajara,Guadalajara,20.6667,-103.3333,EPSG:4326,32613,WGS 84 / UTM zone 13N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
11,sao_paulo,Sao Paulo,-23.5475,-46.6361,EPSG:4326,32723,WGS 84 / UTM zone 23S,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
12,amsterdam,Amsterdam,52.3677,4.8946,EPSG:4326,32631,WGS 84 / UTM zone 31N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
13,barcelona,Barcelona,41.3888,2.159,EPSG:4326,32631,WGS 84 / UTM zone 31N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
14,birmingham,Birmingham,52.4814,-1.8998,EPSG:4326,32630,WGS 84 / UTM zone 30N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
15,copenhagen,Copenhagen,55.6759,12.5655,EPSG:4326,32633,WGS 84 / UTM zone 33N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
16,helsinki,Helsinki,60.1692,24.9402,EPSG:4326,32635,WGS 84 / UTM zone 35N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
17,london,London,51.5085,-0.1257,EPSG:4326,32630,WGS 84 / UTM zone 30N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
18,lyon,Lyon,45.7485,4.8467,EPSG:4326,32631,WGS 84 / UTM zone 31N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
19,madrid,Madrid,40.4165,-3.7026,EPSG:4326,32630,WGS 84 / UTM zone 30N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
20,manchester,Manchester,53.481,-2.2374,EPSG:4326,32630,WGS 84 / UTM zone 30N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
21,marseille,Marseille,43.2956,5.3741,EPSG:4326,32631,WGS 84 / UTM zone 31N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
22,oslo,Oslo,59.9127,10.7461,EPSG:4326,32632,WGS 84 / UTM zone 32N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
23,paris,Paris,48.8534,2.3488,EPSG:4326,32631,WGS 84 / UTM zone 31N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
24,rotterdam,Rotterdam,51.9225,4.4792,EPSG:4326,32631,WGS 84 / UTM zone 31N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
25,utrecht,Utrecht,52.0915,5.1058,EPSG:4326,32631,WGS 84 / UTM zone 31N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
26,valencia,Valencia,39.4698,-0.3774,EPSG:4326,32630,WGS 84 / UTM zone 30N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
27,zurich,Zurich,47.3579,8.503,EPSG:4326,32632,WGS 84 / UTM zone 32N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
28,cape_town,Cape Town,-33.9292,18.4232,EPSG:4326,32734,WGS 84 / UTM zone 34S,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
29,hong_kong,Hong Kong,22.3142,114.1699,EPSG:4326,32650,WGS 84 / UTM zone 50N,,,,,,,No project-specific LiDAR CRS confirmed yet. Use local UTM only for generic metric geometry until source metadata is acquired.
