city_slug,footprint_reference_date,date_precision,dataset_last_updated,source_name,source_url,date_basis,date_confidence,notes
boston,2019-01-01,year,2026-05-20,MassGIS/Boston structures polygons,https://www.mass.gov/info-details/massgis-data-building-structures-2-d,"Existing project note in scenes_analysis_planet.R says Boston footprint was created in 2019.",medium,"Year-level reference date; no row for Boston was present in building_footprint_sources.md."
chicago,2015-08-15,day,2025-06-12,City of Chicago Building Footprints,https://data.cityofchicago.org/Buildings/Building-Footprints/syp8-uezg/about_data,"building_footprint_sources.md: footprints current as of August 2015; portal view modified 2025-06-12.",high,"Tracker also notes 2017 LiDAR as height-label reference year; footprint timing uses 2015-08-15."
los_angeles,2020-01-01,year,2026-01-15,Los Angeles building footprints / LA GeoHub,https://geohub.lacity.org/maps/e6a1e375e12a4fe6849d896a26ec028a/about,"building_footprint_sources.md: data collection/reference year 2020; service timestamp 2026-01-15.",high,"Local source is LARIAC6_Buildings_2020.gdb."
montreal,2013-01-01,year,2017-09-08,Montreal Plateau-Mont-Royal LoD2 textured 3D buildings,https://donnees.montreal.ca/dataset/maquette-numerique-plateau-mont-royal-batiments-lod2-avec-textures,"building_footprint_sources.md: current local GML archives identified as 2013; latest model resource 2017-09-08.",high,"Planet table starts after 2013, so selection uses nearest available qualifying scenes."
new_york_city,2014-07-01,year,2026-06-07,NYC Building Footprints,https://nycmaps-nyc.hub.arcgis.com/datasets/nyc::building/about,"building_footprint_sources.md: 2014 primary photogrammetry with rolling updates; feature-service timestamp 2026-06-07.",high,"Reference date set to midpoint of 2014 because exact acquisition date is mixed/rolling."
san_francisco,2026-06-16,day,2026-06-16,San Francisco building footprints,https://data.sfgov.org/,"Source filename Building_Footprints_20260616.geojson.",high,"Date parsed from raw source filename; source link was provided earlier in chat rather than the tracker file."
seattle,2023-01-01,year,2025-04-23,Seattle Building Outlines 2023,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::building-outlines-2023/about,"building_footprint_sources.md: data collection/reference year 2023; feature-service timestamp 2025-04-23.",high,"Year-level reference date; item metadata modified later."
vancouver,2015-01-01,year,2026-06-16,Vancouver building footprints 2015,https://opendata.vancouver.ca/,"Source filename building-footprints-2015.geojson.",medium,"Year-level reference date; source link was provided earlier in chat rather than the tracker file."
buenos_aires,2021-01-20,day,,Ciudad 3D / Tejido 3D,https://ciudad3d.buenosaires.gob.ar,"building_footprint_sources.md says reference year is to confirm and no update is published; raw shapefile timestamps are 2021-01-20.",low,"Local package timestamp used until source reference year is confirmed."
guadalajara,2026-06-16,day,2026-06-16,OSM/Geofabrik building footprints,https://download.geofabrik.de/,"User stated Copenhagen, Guadalajara, Hong Kong, Oslo, and Sao Paulo OSM Geofabrik downloads were updated about 18 hours before 2026-06-17.",medium,"User-provided recency; normalized to 2026-06-16."
sao_paulo,2026-06-16,day,2026-06-16,OSM/Geofabrik building footprints,https://download.geofabrik.de/,"User stated Copenhagen, Guadalajara, Hong Kong, Oslo, and Sao Paulo OSM Geofabrik downloads were updated about 18 hours before 2026-06-17.",medium,"User-provided recency; normalized to 2026-06-16."
amsterdam,2025-09-09,day,2025-09-09,3DBAG,https://docs.3dbag.nl/en/,"building_footprint_sources.md: mixed BAG/AHN dates; latest 3DBAG release 2025-09-09, release tag 2025.09.03.",medium,"Feature-level BAG/AHN dates should be inspected later; release date is used as current best project-level proxy."
